"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"fitted.Predictor.00092",0.0906140144254614,0.00921242480096448,0.0733146078185467,0.0903453699873716,0.109481231680427,0.0898492622543347
"fitted.Predictor.00093",0.373557284889062,0.0225946849093405,0.330080832961189,0.373281059365832,0.418615425150006,0.372724414291491
"fitted.Predictor.00094",0.0766828035052782,0.0107461137393199,0.0565651837583559,0.0763897715173125,0.09846146845519,0.0757764846738202
"fitted.Predictor.00095",0.106284193427169,0.0138287163729964,0.0811664822814781,0.105590250026952,0.135382431159126,0.104247586695128
"fitted.Predictor.00096",0.0890959750917907,0.0133853918040961,0.0643765227941589,0.0886121887244815,0.116609263949019,0.0876617015340705
"fitted.Predictor.00097",0.127419129403841,0.0115392168868585,0.106085960207902,0.126974202207475,0.151288563200243,0.126084591279288
"fitted.Predictor.00098",0.0879711139743336,0.00859373044588666,0.0722164291555671,0.0875939108699614,0.105876402274516,0.0868414008099729
"fitted.Predictor.00099",0.050723376371121,0.00973537526551766,0.0341121325238193,0.0498797673211182,0.0721379019228657,0.0482224782986431
"fitted.Predictor.00100",0.126626132140819,0.0085188393640489,0.110631482811592,0.126381531175023,0.1440166096459,0.125892449946775
"fitted.Predictor.00101",0.0792511590971987,0.00915498803755558,0.0626707498295348,0.0787728610237053,0.0985726934637114,0.0778435250560935
"fitted.Predictor.00102",0.100979308359186,0.00746982777272902,0.0870414557877827,0.100734677262184,0.116312746161942,0.1002459986548
"fitted.Predictor.00103",0.0953662167699445,0.0129921103272305,0.0715997881610247,0.0947831944825403,0.122579359638015,0.0937359116557456
"fitted.Predictor.00104",0.0781397012928478,0.00672635409804441,0.0657155111336647,0.077876035250134,0.092067757588549,0.0773501226281977
"fitted.Predictor.00105",0.0588200483964744,0.0103292709372405,0.0410400193007915,0.0579703660090288,0.0814549955974188,0.0563311948701732
"fitted.Predictor.00106",0.14314798640504,0.0150797443457464,0.115279605510631,0.142557313868861,0.174382286087923,0.141389025116986
"fitted.Predictor.00107",0.116474877161689,0.00747655223736908,0.102417310408742,0.116266962177303,0.131719203206254,0.115851390218916
"fitted.Predictor.00108",0.16797822797703,0.0114040151181961,0.146513705590516,0.167669534431716,0.191204208687665,0.167051514772433
"fitted.Predictor.00109",0.0905650993491425,0.00821286540143639,0.0754302672307195,0.0902313094793645,0.107603256853534,0.0895652250937303
"fitted.Predictor.00110",0.0481682137436789,0.00737743133885894,0.0352371326352194,0.0476432519209806,0.0640904479603635,0.0466053242033434
"fitted.Predictor.00111",0.190081373168394,0.0204893111520705,0.152666948245873,0.189064027074173,0.233243452904876,0.18707245310794
"fitted.Predictor.00112",0.101102529744558,0.0159335555096187,0.0730283901136234,0.100009277625728,0.135429418267236,0.0978971190875557
"fitted.Predictor.00113",0.117682109932188,0.0107023613902883,0.0975280211392355,0.117373414065059,0.139647405766304,0.116826633131856
"fitted.Predictor.00114",0.443038992182068,0.0242357552517379,0.39594966797291,0.442903175127067,0.490913510651661,0.442629314145506
"fitted.Predictor.00115",0.163077457904338,0.0143011519308188,0.13650224162728,0.16257345805813,0.192525428186227,0.161563752628699
"fitted.Predictor.00116",0.114045914755379,0.0109679774976966,0.0938697714765294,0.11358848858275,0.136829625862962,0.112674550744404
"fitted.Predictor.00117",0.0665446659135122,0.0126044136799511,0.0449401157018301,0.0654854099780846,0.0941761405346763,0.0633964787996122
"fitted.Predictor.00118",0.16212583658162,0.010634054723187,0.14209021301781,0.161844864023227,0.183765031635455,0.16128252644979
"fitted.Predictor.00119",0.103030222469681,0.0117366404376812,0.081695701241537,0.102444475393352,0.127717733444659,0.101302016867812
"fitted.Predictor.00120",0.130363830468646,0.00944329598926279,0.112689180437563,0.130073640834612,0.149694001622185,0.129493250750547
"fitted.Predictor.00121",0.101632530625792,0.00865230049741616,0.085611095694322,0.101307295897849,0.119508831068391,0.100657842598696
"fitted.Predictor.00122",0.149616369655939,0.00931792782880311,0.132038383405807,0.149377615176166,0.168557357369776,0.148900020451432
"fitted.Predictor.00123",0.212245899601478,0.0139912251167152,0.18579263994436,0.211909017987782,0.24062187015871,0.211233684151291
