"","param","mean","sd","lower","upper"
"280",280,0.165239861485563,0.14025262855803,-0.106889609597195,0.447417762739653
"281",281,0.167729324333799,0.137059566827212,-0.0961466829180069,0.445841589885934
"282",282,0.120746735178062,0.193036288567255,-0.263870845251418,0.510332981408827
"283",283,0.136578172045665,0.116712436353551,-0.0906961745685956,0.372203284364876
"284",284,0.129445145976247,0.109660216660463,-0.084780724387422,0.349115254498046
"285",285,0.202027647021886,0.150215058995463,-0.08645283362932,0.503497398831447
"286",286,0.151752302501572,0.127283906959855,-0.0954700032154422,0.408486497036429
"287",287,0.129634946594085,0.141098286589985,-0.148164305186881,0.414495164543226
"288",288,0.0873478158944353,0.134104216015471,-0.180933075067428,0.353815884052174
"289",289,0.111292724308172,0.120351471282737,-0.126294958065501,0.350966284562503
"290",290,0.14616420087258,0.138077813319794,-0.122871114664659,0.425472707986514
"291",291,0.144425668408713,0.146224531108941,-0.141339573850903,0.440280238919788
"292",292,0.125988587826186,0.247404810871796,-0.368357513047703,0.626141498612662
"293",293,0.105794945334771,0.140946841694444,-0.174388336342123,0.387002970660053
"294",294,0.110514630002517,0.129018294635757,-0.14534405073448,0.368612484709229
"295",295,0.142133812944609,0.145829066914134,-0.144035031006288,0.434977538942979
"296",296,0.0874384205706519,0.161934267432158,-0.238301197075478,0.40901517411008
"297",297,0.126014887977224,0.133521718549597,-0.136813431339004,0.394449714282681
"298",298,0.121607565245113,0.131911686127322,-0.138255662372884,0.386928578648628
"299",299,0.275989013994544,0.14159930893952,0.00609205314798896,0.556757537972366
"300",300,-0.00412071759092265,0.160180012819042,-0.329001968088987,0.317933729077101
