"","sex","verhoogde_tegemoetkoming","nis","age","population"
"280","M",TRUE,13006,"(50,65]",93.8983730029115
"281","M",TRUE,13006,"(65,85]",98.0139046372208
"282","M",TRUE,13006,"(85,110]",21.8515087260941
"283","M",TRUE,13008,"(-1,5]",177.708015636326
"284","M",TRUE,13008,"(5,16]",424.398650034865
"285","M",TRUE,13008,"(16,50]",936.3615430484
"286","M",TRUE,13008,"(50,65]",483.292799507316
"287","M",TRUE,13008,"(65,85]",484.934137845125
"288","M",TRUE,13008,"(85,110]",106.328853927969
"289","M",TRUE,13010,"(-1,5]",32.2711570273281
"290","M",TRUE,13010,"(5,16]",84.6641391909456
"291","M",TRUE,13010,"(16,50]",201.975054514181
"292","M",TRUE,13010,"(50,65]",123.00957798835
"293","M",TRUE,13010,"(65,85]",124.395202870853
"294","M",TRUE,13010,"(85,110]",26.4368684083426
"295","M",TRUE,13011,"(-1,5]",112.403304843956
"296","M",TRUE,13011,"(5,16]",276.43886051568
"297","M",TRUE,13011,"(16,50]",656.130584921778
"298","M",TRUE,13011,"(50,65]",365.209277240056
"299","M",TRUE,13011,"(65,85]",358.553370265955
"300","M",TRUE,13011,"(85,110]",88.1026022125745
"301","M",TRUE,13012,"(-1,5]",35.9223354003025
"302","M",TRUE,13012,"(5,16]",95.2740419495218
"303","M",TRUE,13012,"(16,50]",193.158440129427
"304","M",TRUE,13012,"(50,65]",118.161201443234
"305","M",TRUE,13012,"(65,85]",125.942489809831
"306","M",TRUE,13012,"(85,110]",29.2434912676837
"307","M",TRUE,13013,"(-1,5]",45.8095349880897
"308","M",TRUE,13013,"(5,16]",120.405942189618
"309","M",TRUE,13013,"(16,50]",259.46186865655
"310","M",TRUE,13013,"(50,65]",156.305360001422
"311","M",TRUE,13013,"(65,85]",163.018135128561
"312","M",TRUE,13013,"(85,110]",45.4511590357589
"313","M",TRUE,13014,"(-1,5]",86.7487041984818
"314","M",TRUE,13014,"(5,16]",190.044786629674
"315","M",TRUE,13014,"(16,50]",412.828104208492
"316","M",TRUE,13014,"(50,65]",212.717179109267
"317","M",TRUE,13014,"(65,85]",223.521589753332
"318","M",TRUE,13014,"(85,110]",40.0116361007528
"319","M",TRUE,13016,"(-1,5]",37.5083447066411
"320","M",TRUE,13016,"(5,16]",85.7863588763215
"321","M",TRUE,13016,"(16,50]",196.405929553191
"322","M",TRUE,13016,"(50,65]",108.591325645517
"323","M",TRUE,13016,"(65,85]",103.982938502122
"324","M",TRUE,13016,"(85,110]",25.5161027162069
"325","M",TRUE,13017,"(-1,5]",61.5562626492775
"326","M",TRUE,13017,"(5,16]",150.537189369286
"327","M",TRUE,13017,"(16,50]",311.551162744107
"328","M",TRUE,13017,"(50,65]",195.877501641352
"329","M",TRUE,13017,"(65,85]",189.362983496934
"330","M",TRUE,13017,"(85,110]",42.3329000990434
"331","M",TRUE,13019,"(-1,5]",63.6828240790429
"332","M",TRUE,13019,"(5,16]",160.911437665808
"333","M",TRUE,13019,"(16,50]",322.408237729059
"334","M",TRUE,13019,"(50,65]",189.73332400032
"335","M",TRUE,13019,"(65,85]",176.332164110408
"336","M",TRUE,13019,"(85,110]",39.7440124153624
"337","M",TRUE,13021,"(-1,5]",44.0597287489576
"338","M",TRUE,13021,"(5,16]",106.273018123285
"339","M",TRUE,13021,"(16,50]",222.995037594912
"340","M",TRUE,13021,"(50,65]",126.097852042857
"341","M",TRUE,13021,"(65,85]",132.173930072726
"342","M",TRUE,13021,"(85,110]",27.8844334172633
"343","M",TRUE,13023,"(-1,5]",29.8456106707719
"344","M",TRUE,13023,"(5,16]",80.8439564844251
"345","M",TRUE,13023,"(16,50]",159.634449683269
"346","M",TRUE,13023,"(50,65]",89.8661506043635
"347","M",TRUE,13023,"(65,85]",81.1890142546021
"348","M",TRUE,13023,"(85,110]",14.6608183025684
"349","M",TRUE,13025,"(-1,5]",165.538610815913
"350","M",TRUE,13025,"(5,16]",383.193759597002
